town,year,week,value
雲林縣斗六市,2015,1,18.8
雲林縣斗南鎮,2015,1,18.2
雲林縣東勢鄉,2015,1,13.8
雲林縣林內鄉,2015,1,18.25
雲林縣水林鄉,2015,1,15.0
雲林縣臺西鄉,2015,1,13.17
雲林縣莿桐鄉,2015,1,18.8
雲林縣虎尾鎮,2015,1,16.86
雲林縣褒忠鄉,2015,1,15.0
雲林縣西螺鎮,2015,1,17.25
雲林縣麥寮鄉,2015,1,14.08
高雄市三民區,2015,1,28.0
高雄市仁武區,2015,1,28.33
高雄市內門區,2015,1,16.62
高雄市六龜區,2015,1,16.46
高雄市前金區,2015,1,24.0
高雄市前鎮區,2015,1,32.33
高雄市大寮區,2015,1,26.86
高雄市大樹區,2015,1,24.0
高雄市大社區,2015,1,25.0
高雄市小港區,2015,1,30.6
高雄市岡山區,2015,1,22.8
高雄市左營區,2015,1,25.0
高雄市彌陀區,2015,1,24.0
高雄市旗山區,2015,1,15.64
高雄市旗津區,2015,1,31.0
高雄市杉林區,2015,1,15.8
高雄市林園區,2015,1,23.0
高雄市桃源區,2015,1,18.0
高雄市梓官區,2015,1,23.0
高雄市楠梓區,2015,1,23.75
高雄市橋頭區,2015,1,21.0
高雄市永安區,2015,1,24.0
高雄市湖內區,2015,1,23.0
高雄市燕巢區,2015,1,23.43
高雄市田寮區,2015,1,21.88
高雄市甲仙區,2015,1,18.29
高雄市美濃區,2015,1,13.2
高雄市苓雅區,2015,1,30.0
高雄市茂林區,2015,1,17.5
高雄市茄萣區,2015,1,23.0
高雄市路竹區,2015,1,23.0
高雄市阿蓮區,2015,1,23.0
高雄市鳥松區,2015,1,28.0
高雄市鳳山區,2015,1,29.5
高雄市鼓山區,2015,1,24.67
南投縣中寮鄉,2015,2,20.92
南投縣仁愛鄉,2015,2,15.5
南投縣信義鄉,2015,2,18.0
南投縣南投市,2015,2,22.0
南投縣名間鄉,2015,2,20.75
南投縣國姓鄉,2015,2,17.83
南投縣埔里鎮,2015,2,15.57
南投縣水里鄉,2015,2,18.5
南投縣竹山鎮,2015,2,18.21
南投縣草屯鎮,2015,2,21.38
南投縣集集鎮,2015,2,19.67
南投縣魚池鄉,2015,2,17.0
南投縣鹿谷鄉,2015,2,18.7
嘉義市東區,2015,2,21.0
嘉義市西區,2015,2,20.75
嘉義縣中埔鄉,2015,2,19.5
嘉義縣六腳鄉,2015,2,13.5
嘉義縣大埔鄉,2015,2,18.0
嘉義縣大林鎮,2015,2,18.0
嘉義縣太保市,2015,2,16.14
嘉義縣布袋鎮,2015,2,15.0
嘉義縣新港鄉,2015,2,13.33
嘉義縣朴子市,2015,2,13.0
嘉義縣東石鄉,2015,2,13.71
嘉義縣梅山鄉,2015,2,19.17
嘉義縣民雄鄉,2015,2,17.86
嘉義縣水上鄉,2015,2,19.8
嘉義縣溪口鄉,2015,2,15.0
嘉義縣番路鄉,2015,2,19.12
嘉義縣竹崎鄉,2015,2,19.25
嘉義縣義竹鄉,2015,2,15.67
嘉義縣鹿草鄉,2015,2,15.17
基隆市七堵區,2015,2,12.67
基隆市仁愛區,2015,2,7.0
基隆市信義區,2015,2,7.0
基隆市安樂區,2015,2,7.0
基隆市暖暖區,2015,2,9.0
宜蘭縣三星鄉,2015,2,11.44
宜蘭縣五結鄉,2015,2,11.0
宜蘭縣冬山鄉,2015,2,11.88
宜蘭縣南澳鄉,2015,2,12.57
宜蘭縣員山鄉,2015,2,11.5
宜蘭縣壯圍鄉,2015,2,10.0
宜蘭縣大同鄉,2015,2,13.38
宜蘭縣宜蘭市,2015,2,9.5
宜蘭縣礁溪鄉,2015,2,10.88
宜蘭縣蘇澳鎮,2015,2,12.1
宜蘭縣頭城鎮,2015,2,13.29
屏東縣三地門鄉,2015,2,18.23
屏東縣九如鄉,2015,2,20.75
屏東縣佳冬鄉,2015,2,19.33
屏東縣來義鄉,2015,2,18.75
屏東縣內埔鄉,2015,2,20.38
屏東縣南州鄉,2015,2,19.0
屏東縣屏東市,2015,2,20.71
屏東縣崁頂鄉,2015,2,19.67
屏東縣恆春鎮,2015,2,2.25
屏東縣新園鄉,2015,2,23.0
屏東縣新埤鄉,2015,2,17.0
屏東縣春日鄉,2015,2,19.64
屏東縣東港鎮,2015,2,22.0
屏東縣枋寮鄉,2015,2,19.4
屏東縣枋山鄉,2015,2,18.5
屏東縣林邊鄉,2015,2,20.5
屏東縣泰武鄉,2015,2,18.6
屏東縣滿州鄉,2015,2,3.07
屏東縣潮州鎮,2015,2,16.67
屏東縣牡丹鄉,2015,2,8.5
屏東縣獅子鄉,2015,2,15.78
屏東縣琉球鄉,2015,2,24.0
屏東縣瑪家鄉,2015,2,20.0
屏東縣竹田鄉,2015,2,19.33
屏東縣萬丹鄉,2015,2,23.0
屏東縣萬巒鄉,2015,2,18.0
