日期,地區,測項
2019-05-07,宜蘭,PM2.5
2019-05-07,宜蘭,SO2
2019-08-20,新竹,NO
2019-08-20,新竹,NO2
2019-08-20,新竹,NOx
2019-08-20,新竹,O3
2019-08-20,新竹,PM10
2019-08-20,新竹,PM2.5
2019-08-20,新竹,SO2
2019-06-18,湖口,PM10
2019-08-13,湖口,PM2.5
2019-10-15,湖口,NO
2019-10-15,湖口,NO2
2019-10-15,湖口,NOx
2019-06-04,竹東,PM2.5
2019-06-11,竹東,PM2.5
2019-06-18,竹東,PM2.5
2019-06-18,苗栗,PM10
2019-06-25,臺東,PM10
2019-04-16,花蓮,SO2
2019-02-26,關山,SO2
2019-07-23,關山,NO
2019-07-23,關山,NO2
2019-07-23,關山,NOx
2019-07-23,關山,O3
2019-07-23,關山,PM10
2019-07-23,關山,PM2.5
2019-07-23,關山,SO2
2019-03-12,馬公,NO
2019-03-12,馬公,NO2
2019-03-12,馬公,NOx
2019-03-19,馬公,NO
2019-03-19,馬公,NO2
2019-03-19,馬公,NOx
2019-03-26,馬公,NO
2019-03-26,馬公,NO2
2019-03-26,馬公,NOx
2019-04-02,馬公,NO
2019-04-02,馬公,NO2
2019-04-02,馬公,NOx
2019-04-09,馬公,NO
2019-04-09,馬公,NO2
2019-04-09,馬公,NOx
2019-04-16,馬公,NO
2019-04-16,馬公,NO2
2019-04-16,馬公,NOx
2019-04-23,馬公,NO
2019-04-23,馬公,NO2
2019-04-23,馬公,NOx
2019-04-30,馬公,NO
2019-04-30,馬公,NO2
2019-04-30,馬公,NOx
2019-05-07,馬公,NO
2019-05-07,馬公,NO2
2019-05-07,馬公,NOx
2019-05-14,馬公,NO
2019-05-14,馬公,NO2
2019-05-14,馬公,NOx
2019-05-21,馬公,NO
2019-05-21,馬公,NO2
2019-05-21,馬公,NOx
2019-05-28,馬公,NO
2019-05-28,馬公,NO2
2019-05-28,馬公,NOx
2019-06-04,馬公,NO
2019-06-04,馬公,NO2
2019-06-04,馬公,NOx
2019-06-04,馬公,PM10
2019-06-11,馬公,NO
2019-06-11,馬公,NO2
2019-06-11,馬公,NOx
2019-06-18,馬公,NO
2019-06-18,馬公,NO2
2019-06-18,馬公,NOx
2019-06-25,馬公,NO
2019-06-25,馬公,NO2
2019-06-25,馬公,NOx
2019-07-02,馬公,NO
2019-07-02,馬公,NO2
2019-07-02,馬公,NOx
2019-07-09,馬公,NO
2019-07-09,馬公,NO2
2019-07-09,馬公,NOx
2019-07-16,馬公,NO
2019-07-16,馬公,NO2
2019-07-16,馬公,NOx
2019-07-23,馬公,NO
2019-07-23,馬公,NO2
2019-07-23,馬公,NOx
2019-07-23,馬公,SO2
2019-07-30,馬公,NO
2019-07-30,馬公,NO2
2019-07-30,馬公,NOx
2019-08-06,馬公,NO
2019-08-06,馬公,NO2
2019-08-06,馬公,NOx
2019-08-13,馬公,NO
2019-08-13,馬公,NO2
2019-08-13,馬公,NOx
2019-08-20,馬公,NO
2019-08-20,馬公,NO2
2019-08-20,馬公,NOx
2019-08-27,馬公,NO
2019-08-27,馬公,NO2
2019-08-27,馬公,NOx
2019-09-03,馬公,NO
2019-09-03,馬公,NO2
2019-09-03,馬公,NOx
2019-09-10,馬公,NO
2019-09-10,馬公,NO2
2019-09-10,馬公,NOx
2019-09-17,馬公,NO
2019-09-17,馬公,NO2
2019-09-17,馬公,NOx
2019-09-24,馬公,NO
2019-09-24,馬公,NO2
2019-09-24,馬公,NOx
2019-10-01,馬公,NO
2019-10-01,馬公,NO2
2019-10-01,馬公,NOx
2019-10-08,馬公,NO
2019-10-08,馬公,NO2
2019-10-08,馬公,NOx
2019-10-15,馬公,NO
2019-10-15,馬公,NO2
2019-10-15,馬公,NOx
2019-10-22,馬公,NO
2019-10-22,馬公,NO2
2019-10-22,馬公,NOx
2019-10-29,馬公,NO
2019-10-29,馬公,NO2
2019-10-29,馬公,NOx
2019-11-05,馬公,NO
2019-11-05,馬公,NO2
2019-11-05,馬公,NOx
2019-09-17,馬祖,PM2.5
2019-09-03,善化,NO
2019-09-03,善化,NO2
2019-09-03,善化,NOx
2019-09-03,善化,O3
2019-09-03,善化,PM10
2019-09-03,善化,PM2.5
2019-09-03,善化,SO2
2019-09-10,善化,SO2
2019-06-18,斗六,NO
2019-06-18,斗六,NO2
2019-06-18,斗六,NOx
2019-06-18,斗六,O3
2019-06-18,斗六,PM10
2019-06-18,斗六,PM2.5
2019-06-18,斗六,SO2
2019-06-25,斗六,NO
2019-06-25,斗六,NO2
2019-06-25,斗六,NOx
2019-06-18,臺西,PM10
2019-10-08,仁武,O3
2019-10-15,仁武,O3
2019-10-22,仁武,O3
2019-06-04,復興,NO
2019-06-04,復興,NO2
2019-06-04,復興,NOx
2019-06-11,恆春,NO
2019-06-11,恆春,NO2
2019-06-11,恆春,NOx
2019-06-11,恆春,O3
2019-06-11,恆春,PM10
2019-06-11,恆春,PM2.5
2019-06-11,恆春,SO2
2019-09-17,恆春,SO2
2019-07-09,林園,NO
2019-07-09,林園,NO2
2019-07-09,林園,NOx
2019-07-09,林園,O3
2019-07-09,林園,PM10
2019-07-09,林園,PM2.5
2019-07-09,林園,SO2
2019-06-18,楠梓,PM10
2019-07-02,潮州,NO
2019-07-02,潮州,NO2
2019-07-02,潮州,NOx
2019-07-02,潮州,O3
2019-07-02,潮州,PM10
2019-07-02,潮州,PM2.5
2019-07-02,潮州,SO2
